id,lang,pos,text,text_meaning,text_romaji,text_hiragana,lemma,lemma_meaning,lemma_romaji,lemma_hiragana,example,context,annotation,document,status,y_pred,pred,process
1279b89b-0398-541a-879d-4eafd5fe15e2,fr,VERB,se replier,,,,se replier,0,,,"J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.","J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.",,,pending,377674332134198363,1.0,reference word
692c5322-ff73-5176-ba7c-9a5136f57596,fr,VERB,se replier,,,,se replier,1,,,"L'armée était en difficulté, il était préférable de se replier.","L'armée était en difficulté, il était préférable de se replier.",,,pending,-4515399696838498003,0.1,"The word ""se replier"" in French can have different meanings depending on the context. In context_1, ""se replier sur soi-même"" is used metaphorically to describe a physical or emotional reaction, such as curling up or withdrawing into oneself due to pain or distress. In context_2, ""se replier"" is used in a military sense, meaning to retreat or withdraw strategically.

Given these contexts, the probability that ""se replier"" has the same meaning in both contexts is low. The meanings are contextually distinct: one is metaphorical and personal, while the other is literal and strategic. Therefore, the probability that they have the same meaning is approximately 10%."
37791973-eec7-5fcd-98dd-3b1709c8b377,fr,VERB,se disputer,,,,se disputer,0,,,"La mère se disputait avec son fils en public, c’était gênant.","La mère se disputait avec son fils en public, c’était gênant.",,,pending,7805097351933154719,1.0,reference word
f67db9fd-cade-5955-9bc9-978ddc6b2046,fr,VERB,se disputer,,,,se disputer,0,,,"Mes parents se disputent tout le temps, c’est triste.","Mes parents se disputent tout le temps, c’est triste.",,,pending,7805097351933154719,0.95,"The word ""se disputer"" in both contexts refers to the act of arguing or having a disagreement. In context_1, it describes a mother arguing with her son in public, while in context_2, it describes parents arguing frequently. Despite the different subjects and settings, the core meaning of ""se disputer"" as engaging in a verbal conflict or argument remains consistent in both contexts.

Therefore, the probability that ""se disputer"" has the same meaning in both contexts is very high, close to 100%."
81f71595-7a31-5167-a47f-c2eafd264944,fr,VERB,se dire,,,,se dire,0,,,"Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.","Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.",,,pending,-3170452149205271687,1.0,reference word
0a06927f-52f4-5a05-bbbd-8d3650a74f9e,fr,VERB,se dire,,,,se dire,1,,,C'est mieux de tout se dire quand on veut bien s'entendre entre amis.,C'est mieux de tout se dire quand on veut bien s'entendre entre amis.,,,pending,-8063526178177968053,0.1,"To determine the probability that ""se dire"" has the same meaning in both contexts, let's analyze each usage:

1. **Context 1**: ""Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.""
   - Here, ""se dire"" is used reflexively to mean ""to tell oneself"" or ""to think to oneself."" The subject is reflecting internally, considering or deciding something personally.

2. **Context 2**: ""C'est mieux de tout se dire quand on veut bien s'entendre entre amis.""
   - In this context, ""se dire"" is used to mean ""to tell each other"" or ""to communicate openly."" It involves mutual communication between people, emphasizing openness and honesty in relationships.

The meanings in these contexts are different: the first is about internal reflection or decision-making, while the second is about mutual communication between people.

Given these analyses, the probability that ""se dire"" has the same meaning in both contexts is low. I would estimate it at around 10%."
7b892d0d-8431-5c6b-807d-52739a119112,fr,VERB,s'opposer à,,,,s'opposer à,0,,,Le syndicat s'oppose à la réduction des primes des travailleurs.,Le syndicat s'oppose à la réduction des primes des travailleurs.,,,pending,-4548724697243154485,1.0,reference word
2e252533-bf10-5c92-8f80-b02768d005e8,fr,VERB,s'opposer à,,,,s'opposer à,0,,,Le syndicat s'oppose à la réduction des primes des travailleurs.,Le syndicat s'oppose à la réduction des primes des travailleurs.,,,pending,-4548724697243154485,1.0,"The probability that the words ""s'opposer à"" in both contexts have the same meaning is 100%. The contexts provided are identical, and therefore, the meaning of the verb ""s'opposer à"" is the same in both instances."
c7fff995-e40b-50f7-83b6-41a29342a1bc,fr,VERB,réaliser,,,,réaliser,0,,,Elle a réalisé sa plus belle invention en 1906.,Elle a réalisé sa plus belle invention en 1906.,,,pending,8351964863426040035,1.0,reference word
33b303d8-5453-4af8-977d-d2e2479350cd,fr,VERB,réaliser,,,,réaliser,1,,,Il a réalisé son rêve de devenir médecin.,Il a réalisé son rêve de devenir médecin.,,,pending,-3587138454181513156,0.2,"The word ""réaliser"" in French can have multiple meanings depending on the context. In context_1, ""réaliser"" means ""to create"" or ""to make,"" as it refers to the act of creating an invention. In context_2, ""réaliser"" means ""to fulfill"" or ""to achieve,"" as it refers to achieving a dream or goal.

Given these contexts, the probability that ""réaliser"" has the same meaning in both contexts is low. The meanings are related in the sense that both involve bringing something into reality, but they are distinct in their specific applications. Therefore, the probability that they have the same meaning is approximately 20%."
