id,lang,pos,text,text_meaning,text_romaji,text_hiragana,lemma,lemma_meaning,lemma_romaji,lemma_hiragana,example,context,annotation,document,status,y_pred,pred,process
7aa23f5e-5d78-4fa2-abf0-8d3004129455,fr,62,NA,NA,NA,NA,62,0,NA,NA,"L'armée était en difficulté, il était préférable de se replier.","L'armée était en difficulté, il était préférable de se replier.",NA,NA,pending,-868769232596360293,1.0,reference word
f55b699b-1ccd-4d67-acd9-c1f2435b24be,fr,62,NA,NA,NA,NA,62,1,NA,NA,"J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.","J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.",NA,NA,pending,1240514140521270004,0.1,"To determine the probability that the words in these contexts have the same meaning, let's analyze the contexts:

1. **Context 1**: ""L'armée était en difficulté, il était préférable de se replier.""
   - Here, ""se replier"" is used in a military context, meaning to retreat or withdraw strategically. It implies a tactical movement to avoid further conflict or to regroup.

2. **Context 2**: ""J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.""
   - In this context, ""se replier sur soi-même"" is used metaphorically to describe a physical or emotional reaction to pain, where someone might curl up or become introspective due to discomfort.

The meanings in these contexts are different: the first is a strategic military action, while the second is a metaphorical expression of physical or emotional response. 

Therefore, the probability that the words have the same meaning in these contexts is low.

Probability: 10%."
7e7199ad-3908-426f-9850-9a68c32653a0,fr,61,NA,NA,NA,NA,61,0,NA,NA,"La mère se disputait avec son fils en public, c’était gênant.","La mère se disputait avec son fils en public, c’était gênant.",NA,NA,pending,-7415502767640161947,1.0,reference word
0345bcf5-3ab3-4773-a670-3a77be64d56f,fr,61,NA,NA,NA,NA,61,0,NA,NA,"Mes parents se disputent tout le temps, c’est triste.","Mes parents se disputent tout le temps, c’est triste.",NA,NA,pending,-7415502767640161947,1.0,"The words in both contexts are ""se disputait"" and ""se disputent,"" which are different tenses of the verb ""se disputer"" in French. The verb ""se disputer"" means ""to argue"" or ""to have a quarrel."" In both contexts, the verb is used to describe a situation where people are arguing or having a disagreement. 

Given that the meaning of ""se disputer"" is consistent in both contexts, the probability that they have the same meaning in a dictionary is very high. Therefore, the probability is 100%."
f1e0ab7c-97d8-4037-b24e-0202a0920213,fr,60,NA,NA,NA,NA,60,0,NA,NA,"Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.","Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.",NA,NA,pending,-8267463688239781265,1.0,reference word
a1e6bdc0-a99d-4a67-acfd-562f564fde0a,fr,60,NA,NA,NA,NA,60,1,NA,NA,C'est mieux de tout se dire quand on veut bien s'entendre entre amis.,C'est mieux de tout se dire quand on veut bien s'entendre entre amis.,NA,NA,pending,-1759822932137782840,0.1,"To determine the probability that the words ""se dit"" in context_1 and ""se dire"" in context_2 have the same meaning, we need to analyze the contexts in which they are used.

In context_1: ""Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir."" Here, ""s’est dit"" is used reflexively to mean ""she thought to herself"" or ""she decided.""

In context_2: ""C'est mieux de tout se dire quand on veut bien s'entendre entre amis."" Here, ""se dire"" is used reflexively to mean ""to tell each other"" or ""to communicate.""

The two uses of ""se dire"" have different meanings: the first is about internal reflection or decision-making, while the second is about communication between people.

Given these differences, the probability that ""se dit"" in context_1 and ""se dire"" in context_2 have the same meaning is low.

Probability: 10%"
239adc90-6018-4aa3-b09c-7c43e3bfb3b8,fr,59,NA,NA,NA,NA,59,0,NA,NA,Le syndicat s'oppose à la réduction des primes des travailleurs.,Le syndicat s'oppose à la réduction des primes des travailleurs.,NA,NA,pending,2497665688310024683,1.0,reference word
280f6d4e-e02f-4f35-bebd-de7ee2bc2a4e,fr,59,NA,NA,NA,NA,59,0,NA,NA,Le syndicat s'oppose à la réduction des primes des travailleurs.,Le syndicat s'oppose à la réduction des primes des travailleurs.,NA,NA,pending,2497665688310024683,1.0,"The probability that the words have the same meaning in a dictionary is 100%. The contexts provided for both words are identical, indicating that the words are the same and thus have the same meaning."
26768768-ea7b-477e-a4d4-a3e00c8c97c7,fr,58,NA,NA,NA,NA,58,0,NA,NA,Elle a réussi à réaliser son rêve de devenir médecin.,Elle a réussi à réaliser son rêve de devenir médecin.,NA,NA,pending,7966878856204700351,1.0,reference word
e62e42a1-597b-4ac1-ba82-311ec49342e2,fr,58,NA,NA,NA,NA,58,0,NA,NA,Il a réalisé son rêve de devenir médecin.,Il a réalisé son rêve de devenir médecin.,NA,NA,pending,7966878856204700351,0.98,"The probability that the words in the given contexts have the same meaning is very high. Both contexts describe the act of achieving or fulfilling a dream of becoming a doctor. The verb ""réaliser"" in both contexts is used in the sense of ""to achieve"" or ""to fulfill."" Therefore, the probability that they have the same meaning is approximately 95-100%."
