id,lang,pos,text,text_meaning,text_romaji,text_hiragana,lemma,lemma_meaning,lemma_romaji,lemma_hiragana,example,context,annotation,document,status,y_pred,pred,process
NA,NA,NOUN,Mississippi,NA,NA,NA,Mississippi,0,NA,NA,NA,"Un soldat de Mississippi a écrit: "" Notre général Reub Davis est un cul vain , coincé , illettré "" .",NA,NA,pending,-6154570724212004857,1.0,reference word
NA,NA,NOUN,Mississippi,NA,NA,NA,Mississippi,1,NA,NA,NA,"Raymond Vernon rapporte que les résidents de l' est de St . Louis ont traversé le Mississippi , à travers le centre-ville de St. Louis et à l' ouest de la banlieue pour faire de shopping , tout simplement parce que le stationnement est plus facile à grandes branches qu' il est à cœur de la ville .",NA,NA,pending,3000741937540482265,0.1,"The word ""Mississippi"" in both contexts refers to different entities. In context_1, ""Mississippi"" refers to the U.S. state, as it is describing a soldier from Mississippi. In context_2, ""Mississippi"" refers to the Mississippi River, as it describes people crossing it to go shopping. 

Given these contexts, the probability that ""Mississippi"" has the same meaning in both contexts is low. The word refers to different geographical entities: a state in the first context and a river in the second context.

Probability: 10%"
NA,NA,NOUN,Mississippi,NA,NA,NA,Mississippi,0,NA,NA,NA,"Mais en regardant Faulkner dans son arrière-plan à Mississippi et dans le Sud , il est important de ne pas perdre la perspective plus large .",NA,NA,pending,-6154570724212004857,0.95,"The word ""Mississippi"" in both contexts refers to the U.S. state of Mississippi. In context_1, it is used to describe the origin of a soldier, while in context_2, it is used to describe the setting or background related to the author Faulkner. Both uses refer to the same geographical location, the state of Mississippi. Therefore, the probability that they have the same meaning in a dictionary is very high.

Probability: 95%"
NA,NA,NOUN,abandon,NA,NA,NA,abandon,0,NA,NA,NA,"Je proposerais , d' abord , un abandon de tentatives d' une liste lexicale universelle , aussi intrinsèquement inexploitable , et opérationnellement inadéquate en proportion qu' elle est réalisée .",NA,NA,pending,1295995514774163947,1.0,reference word
NA,NA,NOUN,abandon,NA,NA,NA,abandon,0,NA,NA,NA,"Que cet abandon ait lieu sur une scène , à cours d' une performance ' artique ' , suffit à associer Jacoby à l' art , et à lui faire tomber la punition pour l' art ; c'est-à-dire , il est suspect , coupable , puni , comme n' importe qui dans les histoires de Mann qui produit l' illusion , et c' est vrai même si les éléments constants de la nature artiste , technique , magie , culpabilité et souffrance , sont divisés dans cette histoire entre Jacoby et La^utner .",NA,NA,pending,1295995514774163947,0.6,"To determine the probability that the word ""abandon"" has the same meaning in both contexts, we need to analyze the specific usage in each sentence.

In context_1, ""abandon"" is used in the sense of giving up or ceasing attempts at creating a universal lexical list. This suggests a meaning related to relinquishing or discontinuing an effort or project.

In context_2, ""abandon"" refers to an act that takes place during a performance, which associates someone with art and leads to punishment. This usage implies a sense of surrender or yielding, possibly in a more metaphorical or dramatic sense, related to the act of performing or engaging in art.

While both contexts involve the idea of giving up or yielding, the specific applications differ: context_1 is about ceasing an intellectual or practical effort, while context_2 involves a more metaphorical or performative surrender. Despite these differences, the core idea of relinquishment is present in both.

Given these observations, the probability that ""abandon"" has the same meaning in both contexts is moderate, around 60%. The core concept is similar, but the nuances and applications differ."
NA,NA,NOUN,abandon,NA,NA,NA,abandon,1,NA,NA,NA,"Pendant un certain temps après l' abandon de l' usine locale , le courant électrique pour Manchester a été apporté de sud avec un lien d' urgence avec le système Vermont Marble Company à nord .",NA,NA,pending,7803636270876162372,0.2,"The probability that the word ""abandon"" has the same meaning in both contexts is low.

In context_1, ""abandon"" refers to the act of giving up or ceasing attempts to create a universal lexical list, which is more abstract and conceptual.

In context_2, ""abandon"" refers to the act of leaving or ceasing operations at a physical location, specifically a local factory, which is more concrete and physical.

These two uses of ""abandon"" reflect different senses of the word: one is about ceasing an effort or plan, and the other is about leaving a place or ceasing its use. Therefore, the meanings are distinct."
NA,NA,NOUN,absorption,NA,NA,NA,absorption,0,NA,NA,NA,L' absorption par résonance magnétique a été détectée en utilisant un modèle Varian **f spectromètre à large ligne et le système d' électroaimant de 12 pouces associé .,NA,NA,pending,-5175441899263041420,1.0,reference word
NA,NA,NOUN,absorption,NA,NA,NA,absorption,0,NA,NA,NA,Un test de Schilling a démontré une absorption normale de la vitamine * * f .,NA,NA,pending,-5175441899263041420,0.8,"The word ""absorption"" in both contexts refers to the process of taking in or assimilating substances. In context_1, ""absorption"" is used in the context of magnetic resonance, which is a physical process involving the absorption of electromagnetic radiation. In context_2, ""absorption"" refers to the biological process of absorbing nutrients, specifically vitamin B12, in the body.

While both contexts involve the general concept of ""absorption,"" they pertain to different fields: physics and biology. Despite the different applications, the core meaning of ""absorption"" as the process of taking in or assimilating something remains consistent.

Given this analysis, the probability that ""absorption"" has the same meaning in both contexts is relatively high, as the fundamental concept is the same, even though the specific applications differ.

Probability: 0.8 (80%)"
NA,NA,NOUN,absorption,NA,NA,NA,absorption,0,NA,NA,NA,"Comme l' absorption de ondes radio dans un matériau semblable à la roche varie en fonction de la longueur de ondes , il devrait être possible d' échantillonner la variation de température à différentes profondeurs sous la surface et éventuellement de détecter des changements dans la structure ou la composition de matériau de surface lunaire .",NA,NA,pending,-5175441899263041420,0.9,"The probability that the word ""absorption"" has the same meaning in both contexts is high. In both contexts, ""absorption"" refers to the process by which a material takes in energy, such as electromagnetic waves or radio waves. The first context discusses magnetic resonance absorption detected using a spectrometer, while the second context discusses the absorption of radio waves in a rock-like material. Both involve the concept of energy being absorbed by a material, indicating a similar meaning. Therefore, the probability is around 90%."
NA,NA,NOUN,administrateur,NA,NA,NA,administrateur,0,NA,NA,NA,"Si un contribuable décède , l' exécuteur testamentaire , l' administrateur ou le représentant légal doit produire la déclaration finale pour le défunt à plus tard le 15e jour de 4e mois suivant la clôture de l' année d' impôt normale de contribuable décédé .",NA,NA,pending,-7769939236575295125,1.0,reference word
