d000.s00000.t00000 bn:00086431v
d000.s00000.t00001 bn:00009676n
d000.s00001.t00000 bn:00031027n
d000.s00001.t00001 bn:00009676n
d000.s00002.t00000 bn:00000492n
d000.s00002.t00001 bn:00021547n
d000.s00002.t00002 bn:00103511a
d000.s00002.t00003 bn:00017761n
d000.s00002.t00004 bn:00016401n
d000.s00003.t00000 bn:00076928n
d000.s00003.t00001 bn:00031027n
d000.s00003.t00002 bn:00110423a
d000.s00004.t00000 bn:00058442n
d000.s00004.t00001 bn:00111642a
d000.s00004.t00002 bn:00025235n
d000.s00005.t00000 bn:00031027n
d000.s00006.t00000 bn:00031027n
d000.s00007.t00000 bn:00000317n
d000.s00007.t00001 bn:00088629v
d000.s00008.t00000 bn:00009677n
d000.s00008.t00001 bn:00035324n
d000.s00008.t00002 bn:00009474n
d000.s00008.t00003 bn:00069946n
d000.s00009.t00000 bn:00029248n
d000.s00009.t00001 bn:00114440r
d000.s00010.t00000 bn:00009677n
d000.s00010.t00001 bn:00086609v
d000.s00010.t00002 bn:00100148a
d000.s00010.t00003 bn:00002745n
d000.s00011.t00000 bn:00051053n
d000.s00011.t00001 bn:00114766r
d000.s00012.t00000 bn:00101496a
d000.s00013.t00000 bn:00106942a
d000.s00013.t00001 bn:00009677n
d000.s00013.t00002 bn:00083184v
d000.s00013.t00003 bn:00088488v
d000.s00013.t00004 bn:00077386n
d000.s00013.t00005 bn:00035324n
d000.s00013.t00006 bn:00004222n
d000.s00014.t00000 bn:00031027n
d000.s00015.t00000 bn:00009677n
d000.s00015.t00001 bn:00056029n
d000.s00016.t00000 bn:00035324n
d000.s00016.t00001 bn:00009677n
d000.s00016.t00002 bn:00090161v
d000.s00017.t00000 bn:00058442n
d000.s00017.t00001 bn:00116360r
d000.s00017.t00002 bn:00053097n
d000.s00018.t00000 bn:00035649n
d000.s00018.t00001 bn:00090755v
d000.s00018.t00002 bn:00084198v
d000.s00018.t00003 bn:00077386n
d000.s00019.t00000 bn:00058356n
