id,lang,pos,text,text_meaning,text_romaji,text_hiragana,lemma,lemma_meaning,lemma_romaji,lemma_hiragana,example,context,annotation,document,status,y_pred,pred,process
c67d1e53-6b0b-4011-8aee-9ce0a481bfb1,fr,62,NA,NA,NA,NA,62,0,NA,NA,"J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.","J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même.",NA,NA,pending,-868769232596360293,1.0,reference word
0e775bd1-9946-4cdf-a2cc-4ec14b6b229a,fr,62,NA,NA,NA,NA,62,1,NA,NA,"L'armée était en difficulté, il était préférable de se replier.","L'armée était en difficulté, il était préférable de se replier.",NA,NA,pending,1240514140521270004,0.1,"To determine the probability that the words in the given contexts have the same meaning, we need to analyze the contexts in which they are used.

In context_1: ""J’ai eu si mal au ventre, tout d’un coup, que je me suis repliée sur moi-même,"" the phrase ""se replier sur soi-même"" is used metaphorically to describe a physical reaction to pain, where someone might curl up or contract their body due to discomfort.

In context_2: ""L'armée était en difficulté, il était préférable de se replier,"" the word ""se replier"" is used in a military context, meaning to retreat or withdraw strategically.

The meanings in these contexts are quite different: one is a metaphorical use related to a physical reaction to pain, and the other is a strategic military action. Therefore, the probability that they have the same meaning is low.

Probability: 10%"
3f0837e3-5ca8-415c-bdf8-5cd916ab0f74,fr,61,NA,NA,NA,NA,61,0,NA,NA,"Mes parents se disputent tout le temps, c’est triste.","Mes parents se disputent tout le temps, c’est triste.",NA,NA,pending,-7415502767640161947,1.0,reference word
43876563-5511-4f17-a0a6-939ddfcce728,fr,61,NA,NA,NA,NA,61,0,NA,NA,"La mère se disputait avec son fils en public, c’était gênant.","La mère se disputait avec son fils en public, c’était gênant.",NA,NA,pending,-7415502767640161947,0.95,"The words in question are ""disputent"" in context_1 and ""disputait"" in context_2. Both words are forms of the French verb ""disputer,"" which can mean ""to argue"" or ""to quarrel."" In both contexts, the verb is used to describe a situation where people are having a verbal disagreement or argument.

Given the contexts provided:
- In context_1, ""Mes parents se disputent tout le temps, c’est triste,"" the verb ""disputent"" refers to the parents arguing frequently.
- In context_2, ""La mère se disputait avec son fils en public, c’était gênant,"" the verb ""disputait"" refers to the mother arguing with her son in public.

Both contexts describe a situation involving an argument or quarrel. Therefore, the probability that ""disputent"" and ""disputait"" have the same meaning in these contexts is very high.

Probability: 95%"
6a9f3b47-4a37-4ccc-a6ef-2e06ae4430bf,fr,60,NA,NA,NA,NA,60,0,NA,NA,C'est mieux de tout se dire quand on veut bien s'entendre entre amis.,C'est mieux de tout se dire quand on veut bien s'entendre entre amis.,NA,NA,pending,-8267463688239781265,1.0,reference word
4116bd0b-3a2e-423d-be00-05da09e42150,fr,60,NA,NA,NA,NA,60,1,NA,NA,"Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.","Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir.",NA,NA,pending,-1759822932137782840,0.1,"To determine the probability that the words ""se dire"" in the first context and ""s'est dit"" in the second context have the same meaning, we need to analyze the contexts in which they are used.

In context_1: ""C'est mieux de tout se dire quand on veut bien s'entendre entre amis,"" the phrase ""se dire"" is used in the sense of ""to tell each other"" or ""to say to one another."" It implies a mutual exchange of information or thoughts between friends to maintain a good relationship.

In context_2: ""Sa fille lui manquait. Elle s’est dit que ce weekend, elle ira la voir,"" the phrase ""s'est dit"" is used in the sense of ""she thought to herself"" or ""she decided."" It reflects an internal thought or decision made by the subject.

The meanings in these contexts are different: the first involves communication between people, while the second involves an internal thought process. Therefore, the probability that they have the same meaning is low.

Probability: 10%"
4190a96d-0075-48d3-9864-f4ad8cbaaa36,fr,59,NA,NA,NA,NA,59,0,NA,NA,Le syndicat s'oppose à la réduction des primes des travailleurs.,Le syndicat s'oppose à la réduction des primes des travailleurs.,NA,NA,pending,2497665688310024683,1.0,reference word
4ff828b8-9eea-48a1-b6b1-62af9d2375f5,fr,59,NA,NA,NA,NA,59,0,NA,NA,Le syndicat s'oppose à la réduction des primes des travailleurs.,Le syndicat s'oppose à la réduction des primes des travailleurs.,NA,NA,pending,2497665688310024683,1.0,"The probability that the words have the same meaning in a dictionary is 100%. The words are identical, and the context provided for both is exactly the same, indicating that they have the same meaning."
cc9a7001-f686-434b-b1b2-6abf193cc726,fr,58,NA,NA,NA,NA,58,0,NA,NA,Il a réalisé son rêve de devenir médecin.,Il a réalisé son rêve de devenir médecin.,NA,NA,pending,7966878856204700351,1.0,reference word
cef765aa-fe63-4df9-8924-9a82aa50bc22,fr,58,NA,NA,NA,NA,58,1,NA,NA,Elle a réalisé sa plus belle invention en 1906.,Elle a réalisé sa plus belle invention en 1906.,NA,NA,pending,-3972224461402852840,0.2,"The word ""réalisé"" in both contexts is a form of the verb ""réaliser"" in French. In context_1, ""réaliser"" means ""to achieve"" or ""to fulfill,"" as in achieving a dream of becoming a doctor. In context_2, ""réaliser"" means ""to create"" or ""to make,"" as in creating an invention.

While both meanings involve bringing something into reality, the specific senses are different: one is about achieving a personal goal or dream, and the other is about creating or producing something tangible. Therefore, the probability that ""réalisé"" has the same meaning in both contexts is low.

Probability: 20%"
51fa26b5-b449-4891-b647-ac91013cd568,fr,58,NA,NA,NA,NA,58,0,NA,NA,Elle a réussi à réaliser son rêve de devenir médecin.,Elle a réussi à réaliser son rêve de devenir médecin.,NA,NA,pending,7966878856204700351,0.95,"The word ""réaliser"" in both contexts is used in the sense of ""to achieve"" or ""to fulfill"" a dream. In context_1, ""Il a réalisé son rêve de devenir médecin"" translates to ""He achieved his dream of becoming a doctor."" In context_2, ""Elle a réussi à réaliser son rêve de devenir médecin"" translates to ""She succeeded in achieving her dream of becoming a doctor."" Both contexts use ""réaliser"" to convey the idea of making a dream come true or bringing it to fruition.

Given this analysis, the probability that ""réaliser"" has the same meaning in both contexts is very high. I would estimate it at 95%."
f15f40c6-7ebe-499d-9eba-73ef72ca2b41,fr,57,NA,NA,NA,NA,57,0,NA,NA,"Rayer, ça veut dire barrer. Il faut encercler la bonne réponse et rayer la mauvaise.","Rayer, ça veut dire barrer. Il faut encercler la bonne réponse et rayer la mauvaise.",NA,NA,pending,7173825833573082079,1.0,reference word
ed7ee897-6619-4e2c-9ba6-38800f9f72ed,fr,57,NA,NA,NA,NA,57,0,NA,NA,"Vous pouvez rayer mon nom de la liste d'attente, je n’ai plus de temps.","Vous pouvez rayer mon nom de la liste d'attente, je n’ai plus de temps.",NA,NA,pending,7173825833573082079,0.95,"The word ""rayer"" in both contexts is used in the sense of ""crossing out"" or ""removing."" In context_1, ""rayer"" is used to mean crossing out the wrong answer, while in context_2, it is used to mean removing a name from a waiting list. Both usages involve the action of marking something to indicate its removal or invalidation.

Given this analysis, the probability that ""rayer"" has the same meaning in both contexts is very high. I would estimate it at around 95%."
46252fd1-b69d-4dc1-b0e2-ef5f8b7aab12,fr,56,NA,NA,NA,NA,56,0,NA,NA,"Prends un parapluie, il va pleuvoir.","Prends un parapluie, il va pleuvoir.",NA,NA,pending,-2790758592842429976,1.0,reference word
a972ccfe-9c66-484a-a1b6-d7b63511252d,fr,56,NA,NA,NA,NA,56,1,NA,NA,J'ai pris un café ce matin.,J'ai pris un café ce matin.,NA,NA,pending,-7683832621815126342,0.5,"The words in question are ""prends"" and ""pris,"" which are different forms of the French verb ""prendre."" In the given contexts, ""prends"" in ""Prends un parapluie, il va pleuvoir"" means ""take"" in the sense of ""to take an umbrella,"" while ""pris"" in ""J'ai pris un café ce matin"" means ""had"" or ""took"" in the sense of ""to have a coffee.""

Although both words are forms of the verb ""prendre,"" they are used in different contexts with slightly different meanings. In the first context, ""prendre"" is used in the sense of taking or carrying something with you, while in the second context, it is used in the sense of consuming or having something.

Given these differences in usage, the probability that ""prends"" and ""pris"" have the same meaning in these contexts is relatively low. However, since they are forms of the same verb, they share a core meaning related to taking or having. Therefore, the probability that they have the same meaning in a dictionary, considering their core sense, is moderate.

Probability: 50%"
0438f96b-93fd-42ed-8018-458218ea6c4f,fr,55,NA,NA,NA,NA,55,0,NA,NA,Il passe devant la boulangerie tous les matins.,Il passe devant la boulangerie tous les matins.,NA,NA,pending,2060834310585347806,1.0,reference word
