d000.s000.t000 bn:00106124a
d000.s000.t001 bn:00083181v
d000.s000.t002 bn:00092618v
d000.s000.t003 bn:00002179n
d000.s000.t004 bn:00009904n
d000.s000.t005 bn:00070654n
d000.s000.t006 bn:00064646n
d000.s001.t000 bn:00082536v
d000.s001.t001 bn:00083294v
d000.s001.t002 bn:00040564n
d000.s001.t003 bn:00064646n
d000.s001.t004 bn:00115972r
d000.s001.t005 bn:00088078v
d000.s001.t006 bn:00030721n
d000.s001.t007 bn:00104710a
d000.s001.t008 bn:00030618n
d000.s001.t009 bn:00055852n
d000.s001.t010 bn:00114106r
d000.s001.t011 bn:00104887a
d000.s001.t012 bn:00064598n
d000.s002.t000 bn:00007011n
d000.s002.t001 bn:00087106v
d000.s002.t002 bn:00082720v
d000.s002.t003 bn:00034520n
d000.s002.t004 bn:00064646n
d000.s003.t000 bn:00082720v
d000.s003.t001 bn:00101030a
d000.s003.t002 bn:00000435n
d000.s003.t003 bn:00030623n
d000.s003.t004 bn:00000690n
d000.s003.t005 bn:00041786n
d000.s003.t006 bn:00104711a
d000.s003.t007 bn:00065538n
d000.s003.t008 bn:00059788n
d000.s004.t000 bn:00086468v
d000.s004.t001 bn:00111001a
d000.s004.t002 bn:00002179n
d000.s004.t003 bn:00030618n
d000.s004.t004 bn:00065106n
d000.s005.t000 bn:00088789v
d000.s005.t001 bn:00030721n
d000.s006.t000 bn:00083181v
d000.s006.t001 bn:00098361a
d000.s006.t002 bn:00102768a
d000.s006.t003 bn:00115504r
d000.s006.t004 bn:00091028v
d000.s007.t000 bn:00082705v
d000.s007.t001 bn:00116290r
d000.s007.t002 bn:00102003a
d000.s007.t003 bn:00064452n
d000.s007.t004 bn:00054625n
d000.s007.t005 bn:00060464n
d000.s008.t000 bn:00083184v
d000.s008.t001 bn:00108011a
d000.s008.t002 bn:00099557a
d000.s008.t003 bn:00021221n
d000.s008.t004 bn:00076341n
d000.s008.t005 bn:00087802v
d000.s009.t000 bn:00007047n
d000.s009.t001 bn:00030618n
d000.s009.t002 bn:00009904n
d000.s009.t003 bn:00082397v
d000.s009.t004 bn:00032121n
d000.s009.t005 bn:00100152a
d000.s009.t006 bn:00007299n
d000.s009.t007 bn:00081568n
d000.s009.t008 bn:00046568n
d000.s010.t000 bn:00065270n
d000.s010.t001 bn:00091135v
d000.s010.t002 bn:00116511r
d000.s010.t003 bn:00103299a
d000.s010.t004 bn:00014334n
d000.s010.t005 bn:00070653n bn:00070652n
d000.s010.t006 bn:00030618n
d000.s011.t000 bn:00046191n
d000.s011.t001 bn:00082418v
d000.s011.t002 bn:00107839a
d000.s011.t003 bn:00021644n
d000.s011.t004 bn:00051154n
d000.s011.t005 bn:00020920n
d000.s011.t006 bn:00029546n
d000.s011.t007 bn:00032645n
d000.s011.t008 bn:00082844v
d000.s011.t009 bn:00086468v
d000.s011.t010 bn:00029876n
d000.s011.t011 bn:00064598n
d000.s012.t000 bn:00091037v
d000.s012.t001 bn:00013379n
d000.s012.t002 bn:00088736v
d000.s012.t003 bn:00099480a
d000.s012.t004 bn:00030618n
d000.s012.t005 bn:00089240v
d000.s012.t006 bn:00018661n
d000.s012.t007 bn:00107267a
d000.s012.t008 bn:00009904n
d000.s012.t009 bn:00017099n
d000.s012.t010 bn:00000127n
d000.s012.t011 bn:00022995n
d000.s012.t012 bn:00029416n
d000.s013.t000 bn:00085651v
d000.s013.t001 bn:00086154v
d000.s013.t002 bn:00030618n
d000.s013.t003 bn:00009904n
d000.s013.t004 bn:00091493v
d000.s013.t005 bn:00064634n
d000.s013.t006 bn:00055644n
d000.s013.t007 bn:00087106v
d000.s013.t008 bn:00013379n
d000.s013.t009 bn:00022227n
d000.s013.t010 bn:00116085r
d000.s013.t011 bn:00092379v
d000.s013.t012 bn:00041942n
d000.s014.t000 bn:00030618n
d000.s014.t001 bn:00095375v
d000.s014.t002 bn:00009904n
d000.s014.t003 bn:00046997n
d000.s014.t004 bn:00087690v
d000.s015.t000 bn:00082397v
d000.s015.t001 bn:00084494v
d000.s015.t002 bn:00102277a
d000.s015.t003 bn:00105848a
d000.s015.t004 bn:00009904n
d000.s016.t000 bn:00082413v
d000.s016.t001 bn:00017099n
d000.s016.t002 bn:00000127n
d000.s016.t003 bn:00079508n
d000.s016.t004 bn:00021286n
d000.s016.t005 bn:00060768n
d000.s016.t006 bn:00047000n
d000.s017.t000 bn:00116081r
d000.s017.t001 bn:00085450v
d000.s017.t002 bn:00108977a
d000.s017.t003 bn:00047000n
d000.s017.t004 bn:00022996n
d000.s017.t005 bn:00022996n
d000.s017.t006 bn:00046996n
d000.s017.t007 bn:00108011a
d000.s017.t008 bn:00072943n
d000.s018.t000 bn:00046999n
d000.s018.t001 bn:00082481v
d000.s018.t002 bn:00084079v
d000.s018.t003 bn:00096474a
d000.s018.t004 bn:00022995n
d000.s019.t000 bn:00082844v
d000.s019.t001 bn:00085644v
d000.s019.t002 bn:00064427n
d000.s019.t003 bn:00030618n
d000.s019.t004 bn:00084904v
d000.s019.t005 bn:00085875v
d000.s019.t006 bn:00115476r
d000.s019.t007 bn:00021286n
d000.s019.t008 bn:00108165a
d000.s019.t009 bn:00062759n
d000.s020.t000 bn:00092103v
d000.s020.t001 bn:00044416n
d000.s020.t002 bn:00064489n
d000.s020.t003 bn:00007013n
d000.s020.t004 bn:00026105n
d000.s020.t005 bn:00044415n
d000.s021.t000 bn:00083196v
d000.s021.t001 bn:00084998v
d000.s021.t002 bn:00044415n
d000.s021.t003 bn:00005513n
d000.s021.t004 bn:00061054n
d000.s022.t000 bn:00089885v
d000.s022.t001 bn:00059099n
d000.s022.t002 bn:00087012v
d000.s022.t003 bn:00044416n
d000.s022.t004 bn:00114183r
d000.s022.t005 bn:00055609n
d000.s022.t006 bn:00114475r
d000.s022.t007 bn:00036512n
d000.s022.t008 bn:00089240v
d000.s022.t009 bn:00112889a
d000.s022.t010 bn:00081568n
d000.s022.t011 bn:00080813n
d000.s023.t000 bn:00114671r
d000.s023.t001 bn:00091483v
d000.s023.t002 bn:00009011n
d000.s023.t003 bn:00019848n
d000.s023.t004 bn:00029457n
d000.s023.t005 bn:00061605n
d000.s023.t006 bn:00083181v
d000.s023.t007 bn:00099475a
d000.s023.t008 bn:00096798a
d000.s023.t009 bn:00108011a
d000.s023.t010 bn:00019848n
d000.s023.t011 bn:00083181v
d000.s023.t012 bn:00109059a
d000.s024.t000 bn:00088428v
d000.s024.t001 bn:00081568n
d000.s024.t002 bn:00001967n
d000.s024.t003 bn:00011828n
d000.s024.t004 bn:00053226n
d000.s024.t005 bn:00042043n
d000.s024.t006 bn:00108011a
d000.s024.t007 bn:00095962a
d000.s024.t008 bn:00000127n
d000.s024.t009 bn:00000086n
d000.s024.t010 bn:00096060a
d000.s024.t011 bn:00000086n
d000.s024.t012 bn:00043484n
d000.s024.t013 bn:00059125n
d000.s024.t014 bn:00090804v
d000.s024.t015 bn:00059918n
d000.s025.t000 bn:00099268a
d000.s025.t001 bn:00086154v
d000.s025.t002 bn:00034394n
d000.s025.t003 bn:00061450n
d000.s025.t004 bn:00114402r
d000.s025.t005 bn:00117044r
d000.s025.t006 bn:00102277a
d000.s025.t007 bn:00030626n
d000.s025.t008 bn:00058468n
d000.s025.t009 bn:00083181v
d000.s025.t010 bn:00106758a
d000.s026.t000 bn:00085649v
d000.s026.t001 bn:00082705v
d000.s026.t002 bn:00043196n
d000.s026.t003 bn:00031322n
d000.s026.t004 bn:00092816v
d000.s026.t005 bn:00084079v
d000.s026.t006 bn:00034394n
d000.s026.t007 bn:00014561n
d000.s026.t008 bn:00030618n
d000.s027.t000 bn:00083182v
d000.s027.t001 bn:00063738n
d000.s027.t002 bn:00091177v
d000.s027.t003 bn:00014561n
d000.s027.t004 bn:00104971a
d000.s027.t005 bn:00029242n
d000.s027.t006 bn:00114234r
d000.s027.t007 bn:00079724n
d000.s027.t008 bn:00108963a
d000.s027.t009 bn:00069164n
d000.s027.t010 bn:00029242n
d000.s027.t011 bn:00059126n
d000.s028.t000 bn:00084848v
d000.s028.t001 bn:00022995n
d000.s028.t002 bn:00088043v
d000.s028.t003 bn:00014561n
d000.s028.t004 bn:00059126n
d000.s028.t005 bn:00091983v
d000.s028.t006 bn:00096474a
d000.s028.t007 bn:00022995n
d000.s029.t000 bn:00063738n
d000.s029.t001 bn:00014561n
d000.s029.t002 bn:00006523n
d000.s029.t003 bn:00087128v
d000.s029.t004 bn:00108287a
d000.s029.t005 bn:00100810a
d000.s029.t006 bn:00108011a
d000.s029.t007 bn:00018756n
d000.s030.t000 bn:00087069v
d000.s030.t001 bn:00026000n
d000.s030.t002 bn:00061605n
d000.s030.t003 bn:00082530v
d000.s030.t004 bn:00015419n
d000.s030.t005 bn:00074518n
d000.s030.t006 bn:00002749n
d000.s030.t007 bn:00032645n
d000.s031.t000 bn:00102521a
d000.s031.t001 bn:00084998v
d000.s031.t002 bn:00010407n
d000.s031.t003 bn:00084079v
d000.s031.t004 bn:00002749n
d000.s031.t005 bn:00022995n
d000.s032.t000 bn:00085649v
d000.s032.t001 bn:00103716a
d000.s032.t002 bn:00081433n
d000.s032.t003 bn:00074977n
d000.s032.t004 bn:00046568n
d000.s032.t005 bn:00029546n
d000.s032.t006 bn:00059126n
d000.s033.t000 bn:00082705v
d000.s033.t001 bn:00014561n
d000.s033.t002 bn:00073039n
d000.s033.t003 bn:00021286n
d000.s033.t004 bn:00041948n
d000.s033.t005 bn:00027523n
d000.s034.t000 bn:00027451n
d000.s034.t001 bn:00005516n
d000.s034.t002 bn:00100080a
d000.s034.t003 bn:00034394n
d000.s034.t004 bn:00030618n
d000.s034.t005 bn:00083413v
d000.s034.t006 bn:00064646n
d000.s035.t000 bn:00082924v
d000.s035.t001 bn:00064646n
d000.s035.t002 bn:00116085r
d000.s035.t003 bn:00085312v
d000.s035.t004 bn:00061898n
d000.s035.t005 bn:00105825a
d000.s035.t006 bn:00030844n
d000.s036.t000 bn:00030618n
d000.s036.t001 bn:00084904v
d000.s036.t002 bn:00060768n
d000.s036.t003 bn:00055644n
d000.s036.t004 bn:00066601n
d000.s037.t000 bn:00085649v
d000.s037.t001 bn:00086517v
d000.s037.t002 bn:00107912a
d000.s037.t003 bn:00029239n
d000.s037.t004 bn:00030618n
d000.s037.t005 bn:00006539n
d000.s037.t006 bn:00114671r
d000.s037.t007 bn:00083834v
d000.s037.t008 bn:00046568n
d000.s037.t009 bn:00102971a
d000.s037.t010 bn:00022272n
d000.s038.t000 bn:00030618n
d000.s038.t001 bn:00037301n
d000.s038.t002 bn:00020039n
d000.s038.t003 bn:00082381v
d000.s038.t004 bn:00108290a
d000.s038.t005 bn:00016016n
d000.s038.t006 bn:00046568n
d000.s038.t007 bn:00024541n
d000.s039.t000 bn:00015008n
d000.s039.t001 bn:00020039n
d000.s039.t002 bn:00083181v
d000.s039.t003 bn:00113455a
d000.s039.t004 bn:00088192v
d000.s039.t005 bn:00045772n
d000.s039.t006 bn:00108496a
